#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter                          
3.0000000000e-01	2.0943951024e+01	6.5948910237e-08                 	6.5948910237e-08                 	1.3951473992e-23                 	1.0000000000e+00                 	7.3262670959e-01                 
3.2000000000e-01	1.9634954085e+01	7.6395240396e-08                 	7.6062627276e-08                 	3.3261312044e-10                 	9.9564615389e-01                 	7.6729081451e-01                 
3.4000000000e-01	1.8479956786e+01	7.3142718683e-08                 	7.2984404497e-08                 	1.5831418619e-10                 	9.9783554414e-01                 	7.4320433193e-01                 
3.6000000000e-01	1.7453292520e+01	6.2246861901e-08                 	6.2155556958e-08                 	9.1304943040e-11                 	9.9853317998e-01                 	6.8669045039e-01                 
3.8000000000e-01	1.6534698177e+01	6.3230417431e-08                 	6.3170050322e-08                 	6.0367109880e-11                 	9.9904528370e-01                 	7.0789582795e-01                 
4.0000000000e-01	1.5707963268e+01	7.4105674893e-08                 	7.4063488590e-08                 	4.2186303079e-11                 	9.9943072777e-01                 	7.5245581213e-01                 
4.2000000000e-01	1.4959965017e+01	8.1268072009e-08                 	8.1228282117e-08                 	3.9789892068e-11                 	9.9951038715e-01                 	7.6392537670e-01                 
4.5000000000e-01	1.3962634016e+01	8.1569263718e-08                 	8.1525983420e-08                 	4.3280297897e-11                 	9.9946940433e-01                 	7.3982649949e-01                 
5.0000000000e-01	1.2566370614e+01	6.3068733064e-08                 	6.3028153787e-08                 	4.0579277801e-11                 	9.9935658644e-01                 	6.9226458659e-01                 
5.5000000000e-01	1.1423973286e+01	6.1941197157e-08                 	6.1902917126e-08                 	3.8280031265e-11                 	9.9938199400e-01                 	7.0187401943e-01                 
6.0000000000e-01	1.0471975512e+01	8.1804569379e-08                 	8.1766374775e-08                 	3.8194604351e-11                 	9.9953309938e-01                 	7.7244033116e-01                 
6.5000000000e-01	9.6664389341e+00	9.7755720429e-08                 	9.7709041762e-08                 	4.6678666799e-11                 	9.9952249683e-01                 	7.5819207472e-01                 
7.0000000000e-01	8.9759790103e+00	9.2306808998e-08                 	9.2265165482e-08                 	4.1643516052e-11                 	9.9954885759e-01                 	7.4495728149e-01                 
7.5000000000e-01	8.3775804096e+00	7.6338146412e-08                 	7.6298063444e-08                 	4.0082968314e-11                 	9.9947492872e-01                 	6.9870098172e-01                 
8.0000000000e-01	7.8539816340e+00	7.3306337152e-08                 	7.3249351361e-08                 	5.6985791551e-11                 	9.9922263485e-01                 	5.8073519031e-01                 
9.0000000000e-01	6.9813170080e+00	5.4041836297e-08                 	5.3995602533e-08                 	4.6233764480e-11                 	9.9914448199e-01                 	3.8974222314e-01                 
1.0000000000e+00	6.2831853072e+00	6.2580856620e-08                 	6.2532610032e-08                 	4.8246588306e-11                 	9.9922905197e-01                 	3.5963769339e-01                 
1.1000000000e+00	5.7119866429e+00	8.5264509170e-08                 	8.5218013493e-08                 	4.6495677511e-11                 	9.9945468897e-01                 	5.3759187889e-01                 
1.2000000000e+00	5.2359877560e+00	9.5541867193e-08                 	9.5507291548e-08                 	3.4575644617e-11                 	9.9963811002e-01                 	6.2748755653e-01                 
1.3000000000e+00	4.8332194671e+00	1.1496801442e-07                 	1.1492683561e-07                 	4.1178811845e-11                 	9.9964182375e-01                 	6.4715960234e-01                 
1.4000000000e+00	4.4879895051e+00	1.2173054708e-07                 	1.2169830845e-07                 	3.2238626653e-11                 	9.9973516404e-01                 	7.0181392628e-01                 
1.5000000000e+00	4.1887902048e+00	1.3771596756e-07                 	1.3767894515e-07                 	3.7022414606e-11                 	9.9973116832e-01                 	7.0716889339e-01                 
1.6000000000e+00	3.9269908170e+00	1.2796576103e-07                 	1.2793437976e-07                 	3.1381267234e-11                 	9.9975476825e-01                 	7.2092253431e-01                 
1.7000000000e+00	3.6959913572e+00	1.3374716966e-07                 	1.3371801245e-07                 	2.9157208898e-11                 	9.9978199756e-01                 	7.4205763182e-01                 
1.8000000000e+00	3.4906585040e+00	1.3708003678e-07                 	1.3704839972e-07                 	3.1637057797e-11                 	9.9976920740e-01                 	7.3576337081e-01                 
1.9000000000e+00	3.3069396354e+00	1.2433146053e-07                 	1.2430148637e-07                 	2.9974159770e-11                 	9.9975891734e-01                 	7.1861136317e-01                 
2.0000000000e+00	3.1415926536e+00	1.1484574240e-07                 	1.1481897120e-07                 	2.6771203780e-11                 	9.9976689424e-01                 	7.1394234454e-01                 
2.2000000000e+00	2.8559933214e+00	1.1288870407e-07                 	1.1286215486e-07                 	2.6549210504e-11                 	9.9976481960e-01                 	7.2538229963e-01                 
2.4000000000e+00	2.6179938780e+00	9.7667663491e-08                 	9.7642009815e-08                 	2.5653676048e-11                 	9.9973733706e-01                 	7.1647755494e-01                 
2.6000000000e+00	2.4166097335e+00	8.0324902216e-08                 	8.0302767933e-08                 	2.2134283000e-11                 	9.9972444059e-01                 	6.6818554743e-01                 
2.8000000000e+00	2.2439947526e+00	7.1392249844e-08                 	7.1372127833e-08                 	2.0122010437e-11                 	9.9971814853e-01                 	6.2740452104e-01                 
3.0000000000e+00	2.0943951024e+00	6.5135047056e-08                 	6.5114676297e-08                 	2.0370759203e-11                 	9.9968725348e-01                 	6.1559170429e-01                 
3.5000000000e+00	1.7951958021e+00	4.4601817220e-08                 	4.4581747355e-08                 	2.0069864715e-11                 	9.9955002137e-01                 	6.2659982713e-01                 
4.0000000000e+00	1.5707963268e+00	2.8121588699e-08                 	2.8102435847e-08                 	1.9152851385e-11                 	9.9931892712e-01                 	5.4818791785e-01                 
4.5000000000e+00	1.3962634016e+00	1.9245833880e-08                 	1.9207039584e-08                 	3.8794296661e-11                 	9.9798427562e-01                 	4.2667655620e-01                 
5.0000000000e+00	1.2566370614e+00	1.3516169643e-08                 	1.3298007235e-08                 	2.1816240780e-10                 	9.8385915436e-01                 	3.3003264802e-01                 
5.5000000000e+00	1.1423973286e+00	9.2906761874e-09                 	8.9629749415e-09                 	3.2770124587e-10                 	9.6472794453e-01                 	2.6166535675e-01                 
6.0000000000e+00	1.0471975512e+00	6.0982525388e-09                 	5.8025919787e-09                 	2.9566056009e-10                 	9.5151716689e-01                 	2.1250273811e-01                 
6.5000000000e+00	9.6664389341e-01	3.9623946640e-09                 	3.6499452831e-09                 	3.1244938092e-10                 	9.2114632504e-01                 	1.7627655555e-01                 
7.0000000000e+00	8.9759790103e-01	2.5851765884e-09                 	2.2188660290e-09                 	3.6631055938e-10                 	8.5830346715e-01                 	1.4857934095e-01                 
7.5000000000e+00	8.3775804096e-01	1.6094616143e-09                 	1.0651901846e-09                 	5.4427142969e-10                 	6.6183012701e-01                 	1.2561123973e-01                 
8.0000000000e+00	7.8539816340e-01	5.4525809047e-09                 	2.4519595493e-10                 	5.2073849498e-09                 	4.4968788033e-02                 	1.0640017391e-01                 
8.2000000000e+00	7.6624211063e-01	1.0934253113e-08                 	3.0363155002e-10                 	1.0630621563e-08                 	2.7768842268e-02                 	9.9582602512e-02                 
8.4000000000e+00	7.4799825085e-01	1.7192540699e-08                 	7.1693675242e-10                 	1.6475603947e-08                 	4.1700453992e-02                 	9.3572611042e-02                 
8.6000000000e+00	7.3060294270e-01	2.4133869719e-08                 	1.3794471493e-09                 	2.2754422570e-08                 	5.7158141869e-02                 	8.8247437956e-02                 
8.8000000000e+00	7.1399833036e-01	3.1743880886e-08                 	2.2849007839e-09                 	2.9458980102e-08                 	7.1979251437e-02                 	8.2902921669e-02                 
9.0000000000e+00	6.9813170080e-01	4.0491685630e-08                 	3.5383601676e-09                 	3.6953325462e-08                 	8.7384857225e-02                 	7.7283272025e-02                 
9.2000000000e+00	6.8295492469e-01	4.9478728416e-08                 	5.0998717305e-09                 	4.4378856686e-08                 	1.0307200475e-01                 	7.1652936184e-02                 
9.4000000000e+00	6.6842396885e-01	5.5204043346e-08                 	6.4352871705e-09                 	4.8768756176e-08                 	1.1657275048e-01                 	6.6860184423e-02                 
9.6000000000e+00	6.5449846950e-01	5.6037465544e-08                 	7.1454706358e-09                 	4.8891994908e-08                 	1.2751238063e-01                 	6.4294796592e-02                 
9.8000000000e+00	6.4114135788e-01	5.2812977620e-08                 	7.1693908672e-09                 	4.5643586753e-08                 	1.3575055205e-01                 	6.4467873418e-02                 
1.0000000000e+01	6.2831853072e-01	4.7329437601e-08                 	6.6600288010e-09                 	4.0669408800e-08                 	1.4071641538e-01                 	6.7188647346e-02                 
1.0200000000e+01	6.1599855953e-01	4.1767023192e-08                 	6.0285073903e-09                 	3.5738515802e-08                 	1.4433653465e-01                 	7.0803673155e-02                 
1.0400000000e+01	6.0415243338e-01	3.6563145945e-08                 	5.4205523054e-09                 	3.1142593639e-08                 	1.4825180288e-01                 	7.4610904374e-02                 
1.0600000000e+01	5.9275333087e-01	3.1914973924e-08                 	4.8696052805e-09                 	2.7045368644e-08                 	1.5258058152e-01                 	7.7847531585e-02                 
1.0800000000e+01	5.8177641733e-01	2.7354356599e-08                 	4.3604529959e-09                 	2.2993903603e-08                 	1.5940616187e-01                 	8.0925168074e-02                 
1.1000000000e+01	5.7119866429e-01	2.2860874823e-08                 	3.8196124568e-09                 	1.9041262367e-08                 	1.6708076512e-01                 	8.2574699511e-02                 
1.1200000000e+01	5.6099868814e-01	1.8815687480e-08                 	3.3530522592e-09                 	1.5462635221e-08                 	1.7820514200e-01                 	8.2729719181e-02                 
1.1400000000e+01	5.5115660589e-01	1.5126457925e-08                 	2.9122720640e-09                 	1.2214185861e-08                 	1.9252835519e-01                 	8.1101801096e-02                 
1.1600000000e+01	5.4165390579e-01	1.1556052124e-08                 	2.4954000114e-09                 	9.0606521127e-09                 	2.1593879853e-01                 	7.8109296050e-02                 
1.1800000000e+01	5.3247333112e-01	8.6600977663e-09                 	2.0815071242e-09                 	6.5785906421e-09                 	2.4035607684e-01                 	7.3341428648e-02                 
1.2000000000e+01	5.2359877560e-01	6.6905401514e-09                 	1.6880001292e-09                 	5.0025400222e-09                 	2.5229653974e-01                 	6.7748520886e-02                 
1.2500000000e+01	5.0265482457e-01	5.7811882417e-09                 	1.0605740766e-09                 	4.7206141651e-09                 	1.8345261083e-01                 	5.7052471629e-02                 
1.3000000000e+01	4.8332194671e-01	6.1798883818e-09                 	7.6952833816e-10                 	5.4103600436e-09                 	1.2452139758e-01                 	5.0505421048e-02                 
1.3500000000e+01	4.6542113387e-01	6.2477033233e-09                 	5.9494823814e-10                 	5.6527550852e-09                 	9.5226710897e-02                 	4.5664446013e-02                 
1.4000000000e+01	4.4879895051e-01	6.3409318665e-09                 	4.5094235665e-10                 	5.8899895098e-09                 	7.1116101883e-02                 	4.1272255105e-02                 
1.4500000000e+01	4.3332312463e-01	6.3480769576e-09                 	3.3929964875e-10                 	6.0087773088e-09                 	5.3449202179e-02                 	3.7439676928e-02                 
1.5000000000e+01	4.1887902048e-01	6.8422336698e-09                 	2.4370692113e-10                 	6.5985267487e-09                 	3.5618035409e-02                 	3.3718680644e-02                 
1.5500000000e+01	4.0536679401e-01	8.7004351297e-09                 	1.8144193905e-10                 	8.5189931907e-09                 	2.0854352264e-02                 	3.0057994416e-02                 
1.6000000000e+01	3.9269908170e-01	1.2160965426e-08                 	1.8646754702e-10                 	1.1974497879e-08                 	1.5333284858e-02                 	2.6808397712e-02                 
1.6500000000e+01	3.8079910953e-01	1.6221093405e-08                 	2.5692055757e-10                 	1.5964172848e-08                 	1.5838670745e-02                 	2.4212391133e-02                 
