Height Pressure Rho
0.000000e+00 1.000000e+05 1.161440e+00
1.617085e+02 9.817298e+04 1.144351e+00
3.228329e+02 9.637935e+04 1.127519e+00
4.833744e+02 9.461848e+04 1.110942e+00
6.433340e+02 9.288979e+04 1.094615e+00
8.027131e+02 9.119268e+04 1.078534e+00
9.615127e+02 8.952657e+04 1.062696e+00
1.119734e+03 8.789091e+04 1.047096e+00
1.277378e+03 8.628513e+04 1.031732e+00
1.434446e+03 8.470868e+04 1.016599e+00
1.590940e+03 8.316104e+04 1.001694e+00
1.746860e+03 8.164168e+04 9.870131e-01
1.902208e+03 8.015007e+04 9.725532e-01
2.056984e+03 7.868572e+04 9.583106e-01
2.211191e+03 7.724811e+04 9.442821e-01
2.364828e+03 7.583678e+04 9.304644e-01
2.517899e+03 7.445123e+04 9.168542e-01
2.670402e+03 7.309099e+04 9.034483e-01
2.822341e+03 7.175561e+04 8.902436e-01
2.973716e+03 7.044462e+04 8.772369e-01
3.124528e+03 6.915759e+04 8.644251e-01
3.274779e+03 6.789407e+04 8.518054e-01
3.424470e+03 6.665363e+04 8.393747e-01
3.573601e+03 6.543586e+04 8.271302e-01
3.722175e+03 6.424034e+04 8.150689e-01
3.870193e+03 6.306666e+04 8.031880e-01
4.017655e+03 6.191442e+04 7.914848e-01
4.164563e+03 6.078323e+04 7.799565e-01
4.310919e+03 5.967271e+04 7.686005e-01
4.456723e+03 5.858248e+04 7.574141e-01
4.601977e+03 5.751217e+04 7.463947e-01
4.746682e+03 5.646141e+04 7.355397e-01
4.890839e+03 5.542986e+04 7.248466e-01
5.034450e+03 5.441714e+04 7.143130e-01
5.177516e+03 5.342293e+04 7.039364e-01
5.320037e+03 5.244689e+04 6.937143e-01
5.462017e+03 5.148867e+04 6.836445e-01
5.603455e+03 5.054797e+04 6.737246e-01
5.744353e+03 4.962445e+04 6.639523e-01
5.884712e+03 4.871780e+04 6.543253e-01
6.024534e+03 4.782772e+04 6.448414e-01
6.163820e+03 4.695390e+04 6.354985e-01
6.302571e+03 4.609604e+04 6.262944e-01
6.440788e+03 4.525386e+04 6.172269e-01
6.578474e+03 4.442707e+04 6.082940e-01
